name,genus,name,Deer1,Deer2,DeerSp,Native,Habitat,duration,height,minffd,mintemp,sdabun,sdperiod,sdsprdrate,sdvigor,vegsprdrate,seedwt,ThorMFD,HosmMFD,PrimMFD,WinterTemp,absWinterTemp,TPdeltaFlwr,HPdeltaFlwr,HPdeltaFlwr_2,THdeltaFlwr,syndrome1,syndrome2,syndromeBinary,sexuality,symmetry,nectaries,size,AvgLat,MinLat,tMinLat,MaxLat,tMaxlat,SDLat,tSDLat,tseedwt,tsize,tminffd,theight,habit,HabiatBinary,GF,Decid_Egreen,Needle_Broad,C3C4,N2fixer,logLL,logLMA,logNmass,logNarea,logPmass,logParea,logAmass,logAarea,logGs,logRdmass,logRdarea
Hypericum_gentianoides,Hypericum,gentianoides,NA,NA,NA,0,2,1,2,100,-46,3,2,2,2,0,0.04,203.25,196.5333333,217,0,0,-13.75,-20.46666667,-20.46666667,-6.716666667,10,2,1,0,0,0,0.6,36.49948856,26.0829,1.416355876,44.6871,1.650182172,3.860284041,0.586619261,-1.397940009,-0.22184875,10,0.301029996,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iris_prismatica,Iris,prismatica,yes,yes,NA,0,4,3,0.7,127,-46,NA,NA,NA,NA,NA,NA,167,160.9375,176.3333333,0,0,-9.333333333,-15.39583333,-15.39583333,-6.0625,7,3,1,0,0,1,10.2,39.93241409,34.0238,1.531782817,44.969,1.65291323,2.431871323,0.385940591,NA,1.008600172,11.26942767,-0.15490196,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lechea_tenuifolia,Lechea,tenuifolia,NA,NA,NA,0,3,3,0.3,225,-43,NA,NA,NA,NA,NA,0.142,205.5,209,NA,NA,NA,NA,NA,NA,3.5,10,2,1,0,0,0,NA,36.73409167,26.4937,1.423142614,46.9462,1.671600445,3.458734541,0.538917231,-0.847711656,NA,15,-0.522878745,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lespedeza_hirta,Lespedeza,hirta,NA,NA,NA,0,1,3,6,200,-45,3,3,2,2,0,3.229,214.75,209.6923077,231,NA,NA,-16.25,-21.30769231,-21.30769231,-5.057692308,7,3,1,0,1,1,0.6,37.21023221,27.1906,1.434418791,44.35,1.646893624,3.614589703,0.558059007,0.509068045,-0.22184875,14.14213562,0.77815125,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lilium_canadense,Lilium,canadense,NA,NA,NA,0,3,2,1.5,127,-52,NA,NA,NA,NA,NA,NA,188.3333333,188.9375,NA,-0.3,0.3,NA,NA,NA,0.604166667,3,3,1,0,0,1,7.6,40.1181952,33.7866,1.52874449,47.283,1.674705024,2.585841156,0.412601843,NA,0.880813592,11.26942767,0.176091259,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mentha_arvensis,Mentha,arvensis,NA,NA,NA,0,4,3,2.6,100,-52,2,2,2,2,0,0.181,196.75,202.2666667,202,NA,NA,-5.25,0.266666667,0.266666667,5.516666667,10,2,1,0,1,1,0.6,42.19149276,29.807,1.474318268,58.8,1.769377326,3.228507466,0.509001795,-0.742321425,-0.22184875,10,0.414973348,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitchella_repens,Mitchella,repens,yes,yes,yes,0,1,3,0.3,127,-52,NA,NA,NA,NA,NA,3.212,173,166,169.3333333,-0.8,0.8,3.666666667,-3.333333333,-3.333333333,-7,7,3,1,0,0,1,1.9,38.22261816,27.0797,1.432643849,47.7257,1.678752307,4.635167738,0.666065455,0.506775537,0.278753601,11.26942767,-0.522878745,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nymphoides_cordata,Nymphoides,cordata,NA,NA,NA,0,4,3,0.1,127,-52,NA,NA,NA,NA,NA,NA,169,178.4666667,NA,NA,NA,NA,NA,NA,9.466666667,10,2,1,0,0,1,1.3,39.31020738,30.236,1.480524337,45.4029,1.657083593,4.943804548,0.694061293,NA,0.113943352,11.26942767,-1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oenothera_perennis,Oenothera,perennis,NA,NA,NA,0,3,3,0.6,127,-52,NA,NA,NA,NA,NA,NA,159.3333333,NA,188.6666667,-0.7,0.7,-29.33333333,NA,NA,NA,5,3,1,0,0,1,1.9,41.65561598,34.8887,1.542684787,48.7757,1.688203511,2.656613956,0.42432845,NA,0.278753601,11.26942767,-0.22184875,3,1,H,NA,NA,NA,NA,NA,1.312471039,NA,NA,NA,NA,NA,NA,NA,NA,NA
Packera_aurea,Packera,aurea,NA,NA,NA,0,4,3,0.8,NA,NA,NA,NA,NA,NA,NA,0.181,147.5714286,138.6875,145.75,-0.5,0.5,1.821428571,-7.0625,-7.0625,-8.883928571,10,2,1,0,0,1,1.9,39.87202667,30.2328,1.480478371,49.283,1.692697137,3.108636783,0.492569981,-0.742321425,0.278753601,NA,-0.096910013,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Penthorum_sedoides,Penthorum,sedoides,NA,NA,NA,0,4,3,2.6,120,-52,2,1,1,1,1,0.01,203.5,204,194,NA,NA,9.5,10,10,0.5,8,1,0,0,0,0,0.6,38.7860589,28.3443,1.452465736,48.7757,1.688203511,3.854050504,0.585917401,-2,-0.22184875,10.95445115,0.414973348,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Platanthera_psycodes,Platanthera,psycodes,NA,NA,NA,0,4,3,1.5,NA,NA,NA,NA,NA,NA,NA,NA,204.5,200.9375,209,NA,NA,-4.5,-8.0625,-8.0625,-3.5625,5,3,1,0,1,1,1.9,42.46882845,34.8344,1.542008334,51.15,1.708845638,2.918944589,0.465225851,NA,0.278753601,NA,0.176091259,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pogonia_ophioglossoides,Pogonia,ophioglossoides,NA,NA,NA,0,4,3,0.4,127,-52,NA,NA,NA,NA,NA,NA,174.6,167.6,176.3333333,NA,NA,-1.733333333,-8.733333333,-8.733333333,-7,7,3,1,0,1,1,5.1,39.68423084,26.5776,1.424515761,51.283,1.709973423,5.718023304,0.757245921,NA,0.707570176,11.26942767,-0.397940009,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Proserpinaca_palustris,Proserpinaca,palustris,NA,NA,NA,0,4,3,0.4,225,-45,NA,NA,NA,NA,NA,NA,157,217,NA,NA,NA,NA,NA,NA,60,8,1,0,0,0,0,0.3,36.96839504,25.1171,1.399969495,46.3178,1.665747923,4.751018018,0.676786677,NA,-0.522878745,15,-0.397940009,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rosa_carolina,Rosa,carolina,NA,NA,NA,0,3,3,5,100,-46,1,2,2,3,1,19.534,187.2,168.2,172.3333333,NA,NA,14.86666667,-4.133333333,-4.133333333,-19,10,2,1,0,0,0,3.2,38.42968474,28.3443,1.452465736,47.383,1.675622554,3.35068822,0.525134019,1.290791183,0.505149978,10,0.698970004,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia_purpurea,Sarracenia,purpurea,NA,NA,NA,0,4,3,0.2,127,-52,NA,NA,NA,NA,NA,1.91,156.2,152.3333333,151.5,-0.7,0.7,4.7,0.833333333,0.833333333,-3.866666667,7,3,1,0,0,0,5.1,42.31658125,30.2328,1.480478371,60.45,1.781396305,4.568471526,0.659770922,0.281033367,0.707570176,11.26942767,-0.698970004,3,1,H,E,B,C3,N,1.477121255,2.10720997,0.056904851,0.164114821,NA,NA,1.357934847,0.465382851,2.158362492,NA,NA
Saxifraga_virginiensis,Saxifraga,virginiensis,NA,NA,NA,0,1,3,0.4,127,-52,NA,NA,NA,NA,NA,0.239,103.8571429,107.9411765,117.5,-0.7,0.7,-13.64285714,-9.558823529,-9.558823529,4.084033613,10,2,1,0,0,1,0.6,39.10609469,30.8728,1.489576019,48.7675,1.688130493,3.307418055,0.519489093,-0.621602099,-0.22184875,11.26942767,-0.397940009,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Silene_antirrhina,Silene,antirrhina,NA,NA,NA,0,2,1,0.6,127,-46,NA,NA,NA,NA,NA,0.1,156,160.1666667,144,NA,NA,12,16.16666667,16.16666667,4.166666667,5,3,1,0,0,1,NA,38.65044999,26.4937,1.423142614,59.458,1.774210297,4.673552304,0.669647107,-1,NA,11.26942767,-0.22184875,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Silene_caroliniana,Silene,caroliniana,NA,NA,NA,0,1,3,0.8,225,-36,NA,NA,NA,NA,NA,NA,147.4285714,143.4375,145.75,-0.7,0.7,1.678571429,-2.3125,-2.3125,-3.991071429,6,3,1,0,0,1,2.5,38.02459502,30.6683,1.486689703,42.4855,1.628240734,2.565602012,0.409189288,NA,0.397940009,15,-0.096910013,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spiranthes_cernua,Spiranthes,cernua,NA,NA,NA,0,3,3,1.5,90,-52,2,1,1,1,0,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,1,0,1,1,1.3,39.35377135,28.3443,1.452465736,51.283,1.709973423,4.041852681,0.60658048,-2.397940009,0.113943352,9.486832981,0.176091259,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trillium_cernuum,Trillium,cernuum,yes,yes,NA,0,1,3,0.4,127,-47,NA,NA,NA,NA,NA,NA,140.6,134.9375,140.25,-0.6,0.6,0.35,-5.3125,-5.3125,-5.6625,10,2,1,0,0,1,5.1,43.91726068,39.0775,1.591926772,52.867,1.723184667,2.406705343,0.381422922,NA,0.707570176,11.26942767,-0.397940009,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaccinium_oxycoccos,Vaccinium,oxycoccos,NA,NA,NA,0,4,3,0.1,127,-52,NA,NA,NA,NA,NA,0.91,184.75,170.8333333,192,NA,NA,-7.25,-21.16666667,-21.16666667,-13.91666667,10,2,1,0,0,1,1,45.2880957,39.1019,1.592197861,59.583,1.775122366,3.747717689,0.573766869,-0.040958608,0,11.26942767,-1,2,NA,S,E,NA,NA,N,NA,1.999415419,0.185636577,0.185051996,-1.044151964,-1.044736545,NA,NA,NA,NA,NA
Veratrum_viride,Veratrum,viride,NA,NA,NA,0,4,3,2,127,-47,NA,NA,NA,NA,NA,NA,162.5,152.7333333,NA,NA,NA,NA,NA,NA,-9.766666667,10,2,1,0,0,1,1.3,42.06942621,34.8344,1.542008334,64,1.806179974,4.631381508,0.665710557,NA,0.113943352,11.26942767,0.301029996,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vernonia_noveboracensis,Vernonia,noveboracensis,NA,NA,NA,0,4,3,6.6,140,-43,1,2,2,2,0,1.512,213,217.0714286,196,NA,NA,17,21.07142857,21.07142857,4.071428571,10,2,1,0,0,1,1.9,37.42255841,29.6053,1.471369466,42.9861,1.633328045,2.727491144,0.435763349,0.179551791,0.278753601,11.83215957,0.819543936,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrimonia_gryposepala,Agrimonia,gryposepala,NA,NA,NA,0,1,3,1.5,127,-52,NA,NA,NA,NA,NA,1.814,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,1,0,0,0,0.6,41.70185692,32.5422,1.51244691,48.8,1.688419822,2.771028123,0.442640933,0.258637283,-0.22184875,11.26942767,0.176091259,3,1,H,NA,NA,NA,NA,NA,1.68613278,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allium_canadense,Allium,canadense,NA,NA,NA,0,3,3,0.6,NA,NA,NA,NA,NA,NA,NA,NA,173,157.8666667,172.6666667,NA,NA,0.333333333,-14.8,-14.8,-15.13333333,10,2,1,0,0,1,1.3,37.53257521,27.4274,1.43818464,48.7675,1.688130493,4.207143685,0.623987345,NA,0.113943352,NA,-0.22184875,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anaphalis_margaritacea,Anaphalis,margaritacea,NA,NA,NA,0,2,3,3,120,-52,3,2,3,2,0,0.055,199,203.2941176,215,NA,NA,-16,-11.70588235,-11.70588235,4.294117647,10,2,1,0,0,1,1.3,43.23199594,32.9365,1.517677447,64,1.806179974,3.652249706,0.562560463,-1.259637311,0.113943352,10.95445115,0.477121255,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anemone_quinquefolia,Anemone,quinquefolia,NA,NA,NA,0,1,1,0.2,127,-52,NA,NA,NA,NA,NA,1.133,119.8,114.4705882,120.5,-0.6,0.6,-0.7,-6.029411765,-6.029411765,-5.329411765,10,2,1,0,0,0,2.5,41.11030186,32.5974,1.513182962,51,1.707570176,3.548138872,0.550000609,0.05422991,0.397940009,11.26942767,-0.698970004,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apios_americana,Apios,americana,NA,NA,NA,0,3,3,1,140,-50,2,2,1,2,0,NA,219.25,221.5333333,224,-0.6,0.6,-4.75,-2.466666667,-2.466666667,2.283333333,7,3,1,0,1,1,1.3,38.09033394,26.0829,1.416355876,48.2593,1.683581018,4.097451642,0.612513837,NA,0.113943352,11.83215957,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aralia_hispida,Aralia,hispida,no,no,NA,0,1,3,1,127,-52,NA,NA,NA,NA,NA,4.93,168.5,166.7333333,154,-0.7,0.7,14.5,12.73333333,12.73333333,-1.766666667,10,2,1,0,0,1,0.6,43.06005096,38.1716,1.581740364,48.7675,1.688130493,2.247375821,0.351675704,0.692846919,-0.22184875,11.26942767,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aureolaria_pedicularia,Aureolaria,pedicularia,NA,NA,NA,0,1,1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,224.4,225.2,228.5,0,0,-4.1,-3.3,-3.3,0.8,7,3,1,0,1,1,3.8,40.18658008,33.2639,1.521973166,45.5218,1.658219426,2.965616001,0.472114916,NA,0.579783597,NA,0.176091259,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brasenia_schreberi,Brasenia,schreberi,NA,NA,NA,0,5,1,2,127,-52,NA,NA,NA,NA,NA,6.826,196,195.2666667,176.3333333,-0.1,0.1,19.66666667,18.93333333,18.93333333,-0.733333333,8,1,0,0,0,0,3.2,39.13833471,27.3406,1.436808041,48.8337,1.688719631,5.270850301,0.721880682,0.834166284,0.505149978,11.26942767,0.301029996,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campanula_aparinoides,Campanula,aparinoides,NA,NA,NA,0,3,3,2,140,-52,1,2,1,1,2,0.648,187.6666667,189.6153846,198.5,NA,NA,-10.83333333,-8.884615385,-8.884615385,1.948717949,7,3,1,0,0,1,1,42.50111103,34.2238,1.534328229,54,1.73239376,2.730316742,0.436213032,-0.188424994,0,11.83215957,0.301029996,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campanula_rotundifolia,Campanula,rotundifolia,NA,NA,NA,0,3,3,0.8,127,-52,NA,NA,NA,NA,NA,0.051,NA,199.8,183,-0.3,0.3,NA,16.8,16.8,NA,7,3,1,0,0,1,1.9,43.9880971,30.7161,1.487366073,63.383,1.801972791,3.813696444,0.581346122,-1.292429824,0.278753601,11.26942767,-0.096910013,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cardamine_pensylvanica,Cardamine,pensylvanica,no,no,NA,0,4,2,1.5,75,-52,3,1,3,3,0,1.649,133.6666667,NA,133.5,NA,NA,0.166666667,NA,NA,NA,10,2,1,0,0,1,0.3,39.93902,24.4157,1.38766918,62.7,1.797267541,5.359291562,0.729107385,0.217220656,-0.522878745,8.660254038,0.176091259,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceanothus_americanus,Ceanothus,americanus,NA,NA,NA,0,1,3,3,120,-50,1,2,1,1,2,3.213,182,179.4666667,NA,-0.5,0.5,NA,NA,NA,-2.533333333,10,2,1,0,0,1,0.6,37.7977628,27.3406,1.436808041,48.018,1.681404067,3.974140855,0.599243256,0.506910726,-0.22184875,10.95445115,0.477121255,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chimaphila_umbellata,Chimaphila,umbellata,NA,NA,NA,0,1,3,1.1,85,-52,1,2,1,1,1,NA,192,181.8666667,181.6666667,NA,NA,10.33333333,0.2,0.2,-10.13333333,10,2,1,0,0,1,1.9,42.76339501,31.8908,1.503665414,59.15,1.771954749,3.624316292,0.559226091,NA,0.278753601,9.219544457,0.041392685,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrysosplenium_americanum,Chrysosplenium,americanum,NA,NA,NA,0,2,3,0.2,127,-52,NA,NA,NA,NA,NA,0.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,1,0,0,1,0.5,41.66989627,34.76,1.541079768,47.7257,1.678752307,2.909551238,0.46382601,-0.826813732,-0.301029996,11.26942767,-0.698970004,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Circaea_alpina,Circaea,alpina,NA,NA,NA,0,1,3,0.9,80,-52,2,2,1,2,2,0.512,NA,NA,NA,-0.3,0.3,NA,NA,NA,NA,10,2,1,0,1,1,0.3,43.20923154,32.6226,1.513518571,59.417,1.77391072,3.678634634,0.565686655,-0.290730039,-0.522878745,8.94427191,-0.045757491,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cornus_alternifolia,Cornus,alternifolia,NA,NA,NA,0,1,3,25,90,-52,2,2,1,1,0,55.16,157.75,157,148.3333333,-0.4,0.4,9.416666667,8.666666667,8.666666667,-0.75,10,2,1,0,0,1,10.2,40.56907297,30.4102,1.483019276,48.7703,1.688155427,3.46337902,0.539500022,1.741624258,1.008600172,9.486832981,1.397940009,1,0,T,D,B,C3,N,NA,1.602059991,0.230448921,-0.167491087,-0.958607315,-1.356547324,NA,NA,NA,NA,NA
Desmodium_nudiflorum,Desmodium,nudiflorum,NA,NA,NA,0,1,3,0.3,127,-46,NA,NA,NA,NA,NA,NA,209,212.2666667,207.3333333,-0.5,0.5,1.666666667,4.933333333,4.933333333,3.266666667,7,3,1,0,1,1,0.6,38.05208421,29.6353,1.471809328,45.5017,1.658027623,3.232797153,0.509578455,NA,-0.22184875,11.26942767,-0.522878745,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drosera_intermedia,Drosera,intermedia,NA,NA,NA,0,4,2,0.1,127,-52,NA,NA,NA,NA,NA,0.02,188.75,195.2666667,211.5,-0.4,0.4,-22.75,-16.23333333,-16.23333333,6.516666667,10,2,1,0,0,1,0.6,40.67892068,27.3406,1.436808041,53.2,1.725911632,5.390521541,0.731630786,-1.698970004,-0.22184875,11.26942767,-1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
