Symbol	Scientific Name	Noxious Common Name	State Noxious Status†	Native Status*
OROBA	 Orobanche L.	broomrape	P	
ORLO3	 Oryza longistaminata A. Chev. & Roehr.	red rice	P	
ORPU13	 Oryza punctata Kotzchy ex Steud.	red rice	P	
ORRU	 Oryza rufipogon Griffiths	red rice	P	L48 (I)
OTAL	 Ottelia alismoides (L.) Pers.	duck-lettuce	P	L48 (I)
PASC6	 Paspalum scrobiculatum L.	Kodo-millet	P	L48 (I), HI (I)
PECL2	 Pennisetum clandestinum Hochst. ex Chiov.	kikuyugrass	P	L48 (I), HI (I), PR (I), VI (I)
PEMA80	 Pennisetum macrourum Trin.	African feathergrass	P	L48 (I), HI (I)
PEPE24	 Pennisetum pedicellatum Trin.	kyasuma-grass	P	L48 (I)
PEPO14	 Pennisetum polystachion (L.) Schult.			L48 (I), HI (I), PR (I)
PEPO4	 Pennisetum polystachyon (L.) Schult., orth. var.	missiongrass	P	
PHAR3	 Phalaris arundinacea L.	reed canary-grass	P	L48 (N), AK (I), CAN (N), SPM (N)
PHAM2	 Phellodendron amurense Rupr.	Amur cork-tree	P	L48 (I), CAN (I)
PHAU7	 Phragmites australis (Cav.) Trin. ex Steud.	common reed	P	L48 (N), HI (I), PR (N), CAN (N)
POCU6	 Polygonum cuspidatum Siebold & Zucc.	Japanese knotweed, Japanese arrowroot	P	L48 (I), AK (I), CAN (I)
POPE10	 Polygonum perfoliatum L.	Mile-a-minute vine or weed, Asiatic tearthumb	P	L48 (I)
POCR3	 Potamogeton crispus L.	crisped pondweed, curly pondweed	P	L48 (I), CAN (I)
PRPA4	 Prosopis pallida (Humb. & Bonpl. ex Willd.) Kunth	kiawe	P	HI (I), PR (I), VI (I)
PRRE2	 Prosopis reptans Benth.	tornillo	P	L48 (N)
PRST3	 Prosopis strombulifera (Lam.) Benth.	Argentine screwbean	P	L48 (I)
PRVE	 Prosopis velutina Woot.		P	L48 (N), HI (I)
PUMO	 Pueraria montana (Lour.) Merr.	kudzu, Japanese arrowroot	P	L48 (I), HI (I)
RAFI	 Ranunculus ficaria L.	lesser celandine, fig buttercup	P	L48 (I), CAN (I)
RARE3	 Ranunculus repens L.	creeping buttercup	P	L48 (I), AK (I), HI (I), CAN (I), GL (I), SPM (I)
RHCA3	 Rhamnus cathartica L.	common buckthorn	P	L48 (I), CAN (I)
ROPS	 Robinia pseudoacacia L.	black locust	P	L48 (N), CAN (I)
ROAM	 Rorippa amphibia (L.) Besser	water yellowcress, great yellowcress	P	L48 (I), CAN (I)
ROMU	 Rosa multiflora Thunb.	multiflora rose	P	L48 (I), CAN (I)
ROCO6	 Rottboellia cochinchinensis (Lour.) W.D. Clayton	itchgrass	P	L48 (I), PR (I)
RUFR80	 Rubus fruticosus L. [excluded]	wild blackberry complex	P	
RUMO4	 Rubus moluccanus L. [excluded]	wild blackberry	P	
RUPH	 Rubus phoenicolasius Maxim.	wineberry, Japanese wineberry, wine raspberry	P	L48 (I)
SASP	 Saccharum spontaneum L.	wild sugarcane	P	HI (I), PR (I)
SASA7	 Sagittaria sagittifolia L. [excluded]	arrowhead	P	
SAVE6	 Salsola vermiculata L.	wormleaf salsola	P	L48 (I)
SAAU	 Salvinia auriculata Aubl.	giant salvinia	P	PR (I)
SABI9	 Salvinia biloba Raddi	giant salvinia	P	
SAHE7	 Salvinia herzogii de la Sota	giant salvinia	P	
SAMO5	 Salvinia molesta Mitchell	giant salvinia	P	L48 (I), HI (I)
SEJA	 Senecio jacobaea L.	tansy ragwort, stinking Willie	P	L48 (I), CAN (I), SPM (I)
SEPU8	 Setaria pumila (Poir.) Roem. & Schult.		P	L48 (I), HI (I), CAN (I), SPM (W)
SEPUP3	 Setaria pumila (Poir.) Roem. & Schult. ssp. pallidefusca (Schumach.) B.K. Simon			L48 (I)
SEPA82	 Setaria pallidifusca (Schumach.) Stapf & C.E. Hubbard, orth. var.	cattail grass	P	
SOTA3	 Solanum tampicense Dunal	wetland nightshade	P	L48 (I)
SOTO4	 Solanum torvum Sw.	turkeyberry	P	L48 (I), HI (I), PR (I), VI (I)
SOVI2	 Solanum viarum Dunal	tropical soda apple	P	L48 (I)
SPER	 Sparganium erectum L.	exotic bur-reed	P	L48 (N)
SPAL3	 Spermacoce alata Aubl. [excluded]	borreria	P	
STRIG	 Striga Lour.	witchweed	P	
TRNA	 Trapa natans L.	water-chestnut	P	L48 (I), CAN (I)
TRPR5	 Tridax procumbens L.	coat buttons	P	L48 (I), HI (I), PR (I), VI (I)
TUFA	 Tussilago farfara L.	coltsfoot	P	L48 (I), CAN (I), SPM (I)
URPA	 Urochloa panicoides P. Beauv.	liverseed grass	P	L48 (I)
