site,genus,species,genus.update,species.update,native/exotic,invasive/noxious,pollination (wind/animal/self),animal_type,lifeform,duration,resources,notes
arnell,Erodium,cicutarium,,,,,insect,,,,,
arnell,Erophila,verna,,,,,self,,,,,
arnell,Erophila,verna,,,,,animal/wind,,,,,
arnell,Erysimum,cheiranthoides,,,,,insect/wind,,,,,
arnell,Erysimum,strictum,,,,,animal/wind,,,,,
arnell,Euphorbia,cyparissias,,,,,animal,,,,,
arnell,Euphorbia,helioscopia,,,,,animal,,,,,
arnell,Fallopia,convolvulus,,,,,animal/wind,,,,,
arnell,Fallopia,dumetorum,,,,,animal/wind,,,,,
arnell,Festuca,arundinacea,,,,,wind,,,,,
arnell,Festuca,ovina,,,,,wind,,,,,
arnell,Festuca,pratensis,,,,,wind,,,,,
arnell,Festuca,rubra,,,,,wind,,,,,
arnell,Filipendula,ulmaria,,,,,animal,,,,,
arnell,Filipendula,vulgaris,,,,,animal,,,,,
arnell,Fragaria,vesca,,,,,animal,,,,,
arnell,Fragaria,viridis,,,,,animal,,,,,
arnell,Frangula,alnus,,,,,animal,,,,,
arnell,Fraxinus,excelsior,,,,,wind,,,,,
arnell,Fritillaria,imperialis,,,,,animal,,,,,
arnell,Fritillaria,meleagris,,,,,animal,,,,,
arnell,Fumaria,officinalis,,,,,animal/wind,,,,,
arnell,Gagea,lutea,,,,,animal,,,,,
arnell,Gagea,minima,,,,,animal,,,,,
arnell,Galanthus,nivalis,,,,,insect,,,,,
arnell,Galeopsis,speciosa,,,,,insect,,,,,
arnell,Galeopsis,tetrahit,,,,,self,,,,,
arnell,Galium,album,,,,,animal,,,,,
arnell,Galium,aparine,,,,,animal,,,,,
arnell,Galium,boreale,,,,,animal,,,,,
arnell,Galium,odoratum,,,,,animal,,,,,
arnell,Galium,palustre,,,,,animal,,,,,
arnell,Galium,palustre,,,,,animal,,,,,
arnell,Galium,uliginosum,,,,,animal,,,,,
arnell,Galium,verum,,,,,animal,,,,,
arnell,Gentianella,campestris,,,,,animal,,,,,
arnell,Geranium,columbinum,,,,,animal,,,,,
arnell,Geranium,lucidum,,,,,animal,,,,,
arnell,Geranium,pusillum,,,,,animal,,,,,
arnell,Geranium,robertianum,,,,,animal,,,,,
arnell,Geranium,sanguineum,,,,,animal,,,,,
arnell,Geranium,sylvaticum,,,,,animal,,,,,
arnell,Geum,rivale,,,,,animal,,,,,
arnell,Geum,urbanum,,,,,animal,,,,,
arnell,Glaux,maritima,,,,,animal,,,,,
arnell,Glyceria,fluitans,,,,,wind,,,,,
arnell,Glyceria,maxima,,,,,wind,,,,,
arnell,Gnaphalium,sylvaticum,,,,,animal,,,,,
arnell,Gymnadenia,conopsea,,,,,animal,,,,,
arnell,Hammarbya,paludosa,,,,,animal,,,,,
arnell,Helianthemum,nummularium,,,,,insect,,,,,
arnell,Helictotrichon,pratense,,,,,wind,,,,,
arnell,Helictotrichon,pubescens,,,,,wind,,,,,
arnell,Heracleum,sphondylium,,,,,wind,,,,,
arnell,Herniaria,glabra,,,,,insect,,,,,
arnell,Hesperis,matronalis,,,,,animal/wind,,,,,
arnell,Hesperis,matronalis,,,,,insect,,,,,
arnell,Hieracium,umbellatum,,,,,animal,,,,,
arnell,Hierochloe,odorata,,,,,wind,,,,,
arnell,Hippophae,rhamnoides,,,,,animal/wind,,,,,
arnell,Hippuris,vulgaris,,,,,wind,,,,,
arnell,Honckenya,peploides,,,,,animal,,,,,
arnell,Hordeum,vulgare,,,,,wind,,,,,
arnell,Hottonia,palustris,,,,,animal,,,,,
arnell,Hyoscyamus,niger,,,,,animal,,,,,
arnell,Hypericum,maculatum,,,,,insect,,,,,
arnell,Hypericum,perforatum,,,,,insect,,,,,
arnell,Hypochaeris,maculata,,,,,animal,,,,,
arnell,Impatiens,noli-tangere,,,,,animal,,,,,
arnell,Inula,helenium,,,,,animal,,,,,
arnell,Inula,salicina,,,,,animal,,,,,
arnell,Iris,pseudacorus,,,,,animal,,,,,
arnell,Isatis,tinctoria,,,,,animal/wind,,,,,
arnell,Juncus,balticus,,,,,wind,,,,,
arnell,Juncus,bufonius,,,,,wind,,,,,
arnell,Juncus,bulbosus,,,,,wind,,,,,
arnell,Juncus,compressus,,,,,wind,,,,,
arnell,Juncus,effusus,,,,,wind,,,,,
arnell,Juncus,filiformis,,,,,wind,,,,,
arnell,Juniperus,communis,,,,,wind,,,,,
arnell,Knautia,arvensis,,,,,insect,,,,,
arnell,Lamium,album,,,,,insect,,,,,
arnell,Lapsana,communis,,,,,animal,,,,,
arnell,Laserpitium,latifolium,,,,,wind,,,,,
arnell,Lathraea,squamaria,,,,,animal,,,,,
arnell,Lathyrus,latifolius,,,,,animal,,,,,
arnell,Lathyrus,linifolius,,,,,animal,,,,,
arnell,Lathyrus,niger,,,,,animal,,,,,
arnell,Lathyrus,palustris,,,,,animal,,,,,
arnell,Lathyrus,pratensis,,,,,animal,,,,,
arnell,Lathyrus,sylvestris,,,,,animal,,,,,
arnell,Lathyrus,vernus,,,,,animal,,,,,
arnell,Leontodon,autumnalis,,,,,animal,,,,,
arnell,Leonurus,cardiaca,,,,,NA,,,,,
arnell,Leucanthemum,vulgare,,,,,animal,,,,,
arnell,Leucojum,vernum,,,,,insect,,,,,
arnell,Leymus,arenarius,,,,,wind,,,,,
arnell,Ligustrum,vulgare,,,,,insect,,,,,
arnell,Lilium,bulbiferum,,,,,animal,,,,,
arnell,Lilium,martagon,,,,,animal,,,,,
arnell,Linaria,vulgaris,,,,,animal,,,,,
arnell,Linnaea,borealis,,,,,animal,,,,,
arnell,Linum,catharticum,,,,,insect,,,,,
arnell,Listera,cordata,,,,,animal,,,,,
arnell,Listera,ovata,,,,,animal,,,,,
arnell,Lithospermum,arvense,,,,,animal,,,,,
arnell,Lithospermum,officinale,,,,,animal,,,,,
arnell,Lobelia,dortmanna,,,,,animal,,,,,
arnell,Logfia,arvensis,,,,,animal,,,,,
arnell,Lolium,perenne,,,,,wind,,,,,
arnell,Lonicera,alpigena,,,,,animal,,,,,
arnell,Lonicera,caerulea,,,,,animal,,,,,
arnell,Lonicera,caprifolium,,,,,animal,,,,,
arnell,Lonicera,tatarica,,,,,animal,,,,,
arnell,Lonicera,xylosteum,,,,,animal,,,,,
arnell,Lotus,corniculatus,,,,,animal,,,,,
arnell,Luzula,multiflora,,,,,wind,,,,,
arnell,Luzula,pilosa,,,,,wind,,,,,
arnell,Lychnis,flos-cuculi,,,,,animal,,,,,
arnell,Lychnis,viscaria,,,,,animal,,,,,
arnell,Lycopus,europaeus,,,,,insect,,,,,
arnell,Lysimachia,thyrsiflora,,,,,animal,,,,,
arnell,Lysimachia,vulgaris,,,,,animal,,,,,
arnell,Lythrum,portula,,,,,animal,,,,,
arnell,Lythrum,salicaria,,,,,animal,,,,,
arnell,Maianthemum,bifolium,,,,,animal,,,,,
arnell,Malus,domestica,,,,,animal,,,,,
arnell,Malva,alcea,,,,,animal,,,,,
arnell,Malva,neglecta,,,,,animal,,,,,
arnell,Matricaria,discoidea,,,,,animal,,,,,
arnell,Matricaria,recutita,,,,,animal,,,,,
arnell,Medicago,lupulina,,,,,animal,,,,,
arnell,Melampyrum,nemorosum,,,,,animal,,,,,
arnell,Melampyrum,pratense,,,,,animal,,,,,
arnell,Melampyrum,sylvaticum,,,,,animal,,,,,
arnell,Melica,nutans,,,,,wind,,,,,
arnell,Mentha,arvensis,,,,,insect,,,,,
arnell,Menyanthes,trifoliata,,,,,animal,,,,,
arnell,Mercurialis,perennis,,,,,animal,,,,,
arnell,Milium,effusum,,,,,wind,,,,,
arnell,Moehringia,trinervia,,,,,animal,,,,,
arnell,Molinia,caerulea,,,,,wind,,,,,
arnell,Moneses,uniflora,,,,,insect,,,,,
arnell,Monotropa,hypopithys,,,,,NA,,,,,
arnell,Montia,fontana,,,,,self,,,,,
arnell,Muscari,botryoides,,,,,animal,,,,,
arnell,Mycelis,muralis,,,,,animal,,,,,
arnell,Myosotis,arvensis,,,,,animal,,,,,
arnell,Myosotis,laxa,,,,,animal,,,,,
arnell,Myosotis,ramosissima,,,,,animal,,,,,
arnell,Myosotis,scorpioides,,,,,animal,,,,,
arnell,Myosotis,stricta,,,,,animal,,,,,
arnell,Myosotis,sylvatica,,,,,animal,,,,,
arnell,Myosurus,minimus,,,,,animal,,,,,
arnell,Myrica,gale,,,,,wind,,,,,
arnell,Myrrhis,odorata,,,,,wind,,,,,
arnell,Narcissus,poeticus,,,,,NA,,,,,
arnell,Nuphar,lutea,,,,,animal,,,,,
arnell,Nymphaea,alba,,,,,animal,,,,,
arnell,Odontites,litoralis,,,,,animal,,,,,
arnell,Odontites,verna,,,,,animal,,,,,
arnell,Odontites,vulgaris,,,,,animal,,,,,
arnell,Ononis,spinosa,,,,,animal,,,,,
arnell,Origanum,vulgare,,,,,insect,,,,,
arnell,Orthilia,secunda,,,,,insect,,,,,
arnell,Oxalis,acetosella,,,,,insect,,,,,
arnell,Oxalis,acetosella,,,,,self,,,,,
arnell,Papaver,dubium,,,,,animal/wind,,,,,
arnell,Papaver,rhoeas,,,,,animal/wind,,,,,
arnell,Paris,quadrifolia,,,,,animal,,,,,
arnell,Parnassia,palustris,,,,,animal,,,,,
arnell,Pedicularis,palustris,,,,,animal,,,,,
arnell,Persicaria,amphibia,,,,,animal/wind,,,,,
arnell,Persicaria,hydropiper,,,,,animal/wind,,,,,
arnell,Persicaria,maculosa,,,,,animal/wind,,,,,
arnell,Persicaria,minor,,,,,animal/wind,,,,,
arnell,Petasites,hybridus,,,,,animal,,,,,
arnell,Peucedanum,palustre,,,,,wind,,,,,
arnell,Phalaris,arundinacea,,,,,wind,,,,,
arnell,Phleum,phleoides,,,,,wind,,,,,
arnell,Phleum,pratense,,,,,wind,,,,,
arnell,Phragmites,australis,,,,,wind,,,,,
arnell,Picea,abies,,,,,wind,,,,,
arnell,Pilosella,dubia,,,,,animal,,,,,
arnell,Pilosella,lactucella,,,,,animal,,,,,
arnell,Pimpinella,saxifraga,,,,,wind,,,,,
arnell,Pinguicula,vulgaris,,,,,animal,,,,,
arnell,Pinus,sylvestris,,,,,wind,,,,,
arnell,Pisum,sativum,,,,,animal,,,,,
arnell,Plantago,lanceolata,,,,,wind,,,,,
arnell,Plantago,maritima,,,,,wind,,,,,
arnell,Plantago,media,,,,,wind,,,,,
arnell,Platanthera,bifolia,,,,,animal,,,,,
