phylonum	name	genus	name	ThorPA	HosmerAbun	EatonAbun	PrimackAbun	Hosmer01	HomserData2	HosmerData3	HosmerData4	Waif1	Waif2	DeltaAbun_cont	Deer1	Deer2	DeerSp	PrimPA	Native	IPANEinvstat	IPANEinvstatAll	IPANEinvstat1	IPANEinvstatNat	Habitat	Habitat1_4	Habitat1	Habitat2	Habitat3	Habitat4	duration	height	minffd	mintemp	sdabun	sdperiod	sdsprdrate	sdvigor	vegsprdrate	seedwt	ThorMFD	HosmMFD	PrimMFD	SpringTemp	absSpringTemp	mWinterTemp	comWinterTemp\	WinterTemp	absWinterTemp	TPdeltaFlwr	HPdeltaFlwr	HPdeltaFlwr_2	THdeltaFlwr	syndrome1	syndrome2	syndromeBinary	sexuality	symmetry	nectaries	size	AvgLat	MinLat	tMinLat	MaxLat	tMaxlat	SDLat	tSDLat	tseedwt	tsize	tminffd	theight	habit	HabiatBinary	GF	Decid_Egreen	Needle_Broad	C3C4	N2fixer	logLL	logLMA	logNmass	logNarea	logPmass	logParea	logAmass	logAarea	logGs	logRdmass	logRdarea
568	Mentha_arvensis	Mentha	arvensis	1	5	5	1	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	4	4	0	0	0	1	3	2.6	100	-52	2	2	2	2	0	0.181	196.75	202.2666667	202	missing	missing	-0.276779035	-0.276779035	missing	missing	-5.25	0.266666667	0.266666667	5.516666667	10	2	1	0	1	1	0.6	42.19149276	29.807	1.474318268	58.8	1.769377326	3.228507466	0.509001795	-0.742321425	-0.22184875	10	0.414973348	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
492	Mitchella_repens	Mitchella	repens	1	6	5	2	0	0	0	0	0	0	-4	yes	yes	yes	1	0	1	0	missing	0	1	1	1	0	0	0	3	0.3	127	-52	missing	missing	missing	missing	missing	3.212	173	166	169.3333333	-0.8	0.8	-0.8	-0.8	-0.8	0.8	3.666666667	-3.333333333	-3.333333333	-7	7	3	1	0	0	1	1.9	38.22261816	27.0797	1.432643849	47.7257	1.678752307	4.635167738	0.666065455	0.506775537	0.278753601	11.26942767	-0.522878745	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
665	Nymphoides_cordata	Nymphoides	cordata	1	5	1	1	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	4	4	0	0	0	1	3	0.1	127	-52	missing	missing	missing	missing	missing	missing	169	178.4666667	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	9.466666667	10	2	1	0	0	1	1.3	39.31020738	30.236	1.480524337	45.4029	1.657083593	4.943804548	0.694061293	missing	0.113943352	11.26942767	-1	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
226	Oenothera_perennis	Oenothera	perennis	1	5	4	1	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	3	3	0	0	1	0	3	0.6	127	-52	missing	missing	missing	missing	missing	missing	159.3333333	missing	188.6666667	-0.7	0.7	-0.7	-0.7	-0.7	0.7	-29.33333333	missing	missing	missing	5	3	1	0	0	1	1.9	41.65561598	34.8887	1.542684787	48.7757	1.688203511	2.656613956	0.42432845	missing	0.278753601	11.26942767	-0.22184875	3	1	H	missing	missing	missing	missing	missing	1.312471039	missing	missing	missing	missing	missing	missing	missing	missing	missing
710	Packera_aurea	Packera	aurea	1	6	4	2	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	4	4	0	0	0	1	3	0.8	missing	missing	missing	missing	missing	missing	missing	0.181	147.5714286	138.6875	145.75	-0.7	0.7	-0.5	-0.5	-0.5	0.5	1.821428571	-7.0625	-7.0625	-8.883928571	10	2	1	0	0	1	1.9	39.87202667	30.2328	1.480478371	49.283	1.692697137	3.108636783	0.492569981	-0.742321425	0.278753601	missing	-0.096910013	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
199	Penthorum_sedoides	Penthorum	sedoides	1	5	3	1	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	4	4	0	0	0	1	3	2.6	120	-52	2	1	1	1	1	0.01	203.5	204	194	missing	missing	missing	missing	missing	missing	9.5	10	10	0.5	8	1	0	0	0	0	0.6	38.7860589	28.3443	1.452465736	48.7757	1.688203511	3.854050504	0.585917401	-2	-0.22184875	10.95445115	0.414973348	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
61	Platanthera_psycodes	Platanthera	psycodes	1	5	2	1	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	4	4	0	0	0	1	3	1.5	missing	missing	missing	missing	missing	missing	missing	missing	204.5	200.9375	209	missing	missing	missing	missing	missing	missing	-4.5	-8.0625	-8.0625	-3.5625	5	3	1	0	1	1	1.9	42.46882845	34.8344	1.542008334	51.15	1.708845638	2.918944589	0.465225851	missing	0.278753601	missing	0.176091259	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
70	Pogonia_ophioglossoides	Pogonia	ophioglossoides	1	5	2	1	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	4	4	0	0	0	1	3	0.4	127	-52	missing	missing	missing	missing	missing	missing	174.6	167.6	176.3333333	missing	missing	missing	missing	missing	missing	-1.733333333	-8.733333333	-8.733333333	-7	7	3	1	0	1	1	5.1	39.68423084	26.5776	1.424515761	51.283	1.709973423	5.718023304	0.757245921	missing	0.707570176	11.26942767	-0.397940009	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
198	Proserpinaca_palustris	Proserpinaca	palustris	1	5	1	1	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	4	4	0	0	0	1	3	0.4	225	-45	missing	missing	missing	missing	missing	missing	157	217	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	60	8	1	0	0	0	0	0.3	36.96839504	25.1171	1.399969495	46.3178	1.665747923	4.751018018	0.676786677	missing	-0.522878745	15	-0.397940009	3	1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
346	Rosa_carolina	Rosa	carolina	1	5	5	1	0	0	0	0	0	0	-4	missing	missing	missing	1	0	1	0	missing	0	3	3	0	0	1	0	3	5	100	-46	1	2	2	3	1	19.534	187.2	168.2	172.3333333	missing	missing	missing	missing	missing	missing	14.86666667	-4.133333333	-4.133333333	-19	10	2	1	0	0	0	3.2	38.42968474	28.3443	1.452465736	47.383	1.675622554	3.35068822	0.525134019	1.290791183	0.505149978	10	0.698970004	2	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing
