"site","plot","event","year","doy","date","genus","species","scrub","varetc","cult","precintra","precinter"
"concord",NA,"ffd",1852,212,"1852-07-30","Hedeoma","pulegioides",0,NA,NA,NA,1
"concord",NA,"ffd",1852,156,"1852-06-04","Helianthemum","canadense",1,NA,NA,NA,1
"concord",NA,"ffd",1852,214,"1852-08-01","Helianthus","annuus",0,NA,NA,NA,1
"concord",NA,"ffd",1852,229,"1852-08-16","Hibiscus","moscheutos",2,NA,NA,NA,3
"concord",NA,"ffd",1852,235,"1852-08-22","Hieracium","canadense",0,NA,NA,NA,1
"concord",NA,"ffd",1852,219,"1852-08-06","Hieracium","paniculatum",0,NA,NA,NA,1
"concord",NA,"ffd",1852,218,"1852-08-05","Hieracium","scabrum",0,NA,NA,381,2
"concord",NA,"ffd",1852,171,"1852-06-19","Hieracium","venosum",0,NA,NA,370,1
"concord",NA,"ffd",1852,127,"1852-05-06","Houstonia","caerulea",0,NA,NA,377,1
"concord",NA,"ffd",1852,199,"1852-07-17","Hypericum","canadense",0,NA,NA,NA,1
"concord",NA,"ffd",1852,183,"1852-07-01","Hypericum","ellipticum",1,NA,NA,NA,1
"concord",NA,"ffd",1852,216,"1852-08-03","Hypericum","gentianoides",2,NA,NA,NA,1
"concord",NA,"ffd",1852,211,"1852-07-29","Hypericum","mutilum",0,NA,NA,NA,1
"concord",NA,"ffd",1852,170,"1852-06-18","Hypericum","perforatum",0,NA,NA,NA,2
"concord",NA,"ffd",1852,237,"1852-08-24","Hypericum","punctatum",0,NA,NA,NA,2
"concord",NA,"ffd",1852,202,"1852-07-20","Hypericum","virginicum",0,NA,NA,NA,1
"concord",NA,"ffd",1852,149,"1852-05-28","Hypoxis","hirsuta",2,NA,NA,NA,1
"concord",NA,"ffd",1852,177,"1852-06-25","Ilex","verticillata",0,NA,NA,NA,1
"concord",NA,"ffd",1852,193,"1852-07-11","Impatiens","capensis",0,NA,NA,NA,1
"concord",NA,"ffd",1852,172,"1852-06-20","Iris","prismatica",0,NA,NA,NA,1
"concord",NA,"ffd",1852,163,"1852-06-11","Iris","versicolor",0,NA,NA,NA,1
"concord",NA,"ffd",1852,175,"1852-06-23","Kalmia","latifolia",0,NA,NA,356,2
"concord",NA,"ffd",1852,183,"1852-07-01","Krigia","virginica",1,NA,NA,NA,1
"concord",NA,"ffd",1852,234,"1852-08-21","Lactuca","biennis",2,NA,NA,NA,1
"concord",NA,"ffd",1852,191,"1852-07-09","Lactuca","canadensis",0,NA,NA,NA,1
"concord",NA,"ffd",1852,211,"1852-07-29","Lechea","tenuifolia",0,NA,NA,NA,1
"concord",NA,"ffd",1852,198,"1852-07-16","Lechea","villosa",0,NA,NA,NA,3
"concord",NA,"ffd",1852,167,"1852-06-15","Leontodon","autumnalis",1,NA,NA,NA,2
"concord",NA,"ffd",1852,181,"1852-06-29","Leonurus","cardiaca",0,NA,NA,NA,1
"concord",NA,"ffd",1852,189,"1852-07-07","Lepidium","virginicum",0,NA,NA,NA,1
"concord",NA,"ffd",1852,219,"1852-08-06","Lespedeza","capitata",1,NA,NA,NA,1
"concord",NA,"ffd",1852,224,"1852-08-11","Lespedeza","hirta",1,NA,NA,NA,3
"concord",NA,"ffd",1852,230,"1852-08-17","Lespedeza","virginica",1,NA,NA,NA,1
"concord",NA,"ffd",1852,229,"1852-08-16","Liatris","borealis",0,NA,NA,NA,3
"concord",NA,"ffd",1852,185,"1852-07-03","Lilium","canadense",0,NA,NA,NA,1
"concord",NA,"ffd",1852,188,"1852-07-06","Lilium","philadelphicum",1,NA,NA,NA,1
"concord",NA,"ffd",1852,156,"1852-06-04","Linaria","canadensis",0,NA,NA,NA,1
"concord",NA,"ffd",1852,171,"1852-06-19","Linaria","vulgaris",0,NA,NA,NA,1
"concord",NA,"ffd",1852,206,"1852-07-24","Lobelia","cardinalis",0,NA,NA,NA,1
"concord",NA,"ffd",1852,199,"1852-07-17","Lobelia","inflata",0,NA,NA,NA,1
"concord",NA,"ffd",1852,183,"1852-07-01","Lobelia","spicata",0,NA,NA,NA,1
"concord",NA,"ffd",1852,151,"1852-05-30","Lupinus","perennis",0,NA,NA,NA,1
"concord",NA,"ffd",1852,200,"1852-07-18","Lycopus","americanus",0,NA,NA,NA,1
"concord",NA,"ffd",1852,219,"1852-08-06","Lycopus","virginicus",0,NA,NA,NA,1
"concord",NA,"ffd",1852,173,"1852-06-21","Lyonia","ligustrina",0,NA,NA,NA,1
"concord",NA,"ffd",1852,204,"1852-07-22","Lysimachia","ciliata",0,NA,NA,372,1
"concord",NA,"ffd",1852,186,"1852-07-04","Lysimachia","hybrida",2,NA,NA,NA,1
"concord",NA,"ffd",1852,170,"1852-06-18","Lysimachia","quadrifolia",0,NA,NA,NA,2
"concord",NA,"ffd",1852,183,"1852-07-01","Lysimachia","terrestris",0,NA,NA,NA,1
"concord",NA,"ffd",1852,168,"1852-06-16","Lysimachia","thyrsiflora",1,NA,NA,NA,1
"concord",NA,"ffd",1852,141,"1852-05-20","Malus","malus",0,NA,NA,368,2
"concord",NA,"ffd",1852,157,"1852-06-05","Medeola","virginiana",0,NA,NA,NA,1
"concord",NA,"ffd",1852,192,"1852-07-10","Melilotus","alba",0,NA,NA,NA,1
"concord",NA,"ffd",1852,200,"1852-07-18","Mentha","arvensis",0,NA,NA,NA,1
"concord",NA,"ffd",1852,165,"1852-06-13","Menyanthes","trifoliata",0,NA,NA,NA,1
"concord",NA,"ffd",1852,226,"1852-08-13","Mikania","scandens",0,NA,NA,NA,1
"concord",NA,"ffd",1852,203,"1852-07-21","Mimulus","ringens",0,NA,NA,NA,1
"concord",NA,"ffd",1852,175,"1852-06-23","Mitchella","repens",0,NA,NA,NA,2
"concord",NA,"ffd",1852,184,"1852-07-02","Mollugo","verticillata",0,NA,NA,NA,1
