Genus,Species,Season,n,meanFFD,daysperC,R2,F-val,p-val,event,
Trientalis,borealis,Annual,24,137,-4.4757,0.28398,8.7253,0.007337,ffd,
Trifolium,arvense,Annual,22,177.3182,-7.133,0.20854,5.2698,0.032644,ffd,
Trifolium,aureum,Annual,19,155.0526,-5.9748,0.055059,0.99055,0.33356,ffd,
Trifolium,campestre,Annual,17,155.9412,-9.9128,0.32347,7.172,0.017199,ffd,
Trifolium,hybridum,Annual,18,154.2778,-3.1246,0.11935,2.1684,0.16027,ffd,
Trifolium,pratense,Annual,23,146.7826,-3.0284,0.15666,3.901,0.06155,ffd,
Trifolium,repens,Annual,23,149.5217,-2.5029,0.031161,0.67543,0.4204,ffd,
Trillium,cernuum,Annual,24,136.5417,-0.048106,3.4765e-05,0.00076485,0.97819,ffd,
Trillium,grandiflorum,Annual,15,127.0667,-0.26667,0.00058583,0.0076203,0.93177,ffd,
Trillium,undulatum,Annual,16,133.9375,-8.0506,0.48903,13.399,0.002571,ffd,
Triodanis,perfoliata,Annual,20,176.2,-1.7481,0.0073767,0.13377,0.71882,ffd,
Triosteum,aurantiacum,Annual,18,154.5556,-7.7268,0.3173,7.4362,0.014924,ffd,
Urtica,dioica,Annual,5,187.4,10.6117,0.38815,1.9032,0.26157,ffd,
Utricularia,cornuta,Annual,18,201.7778,-9.4094,0.18239,3.5692,0.077123,ffd,
Utricularia,inflata,Annual,18,189.3333,-23.6696,0.35674,8.8734,0.0088621,ffd,
Utricularia,purpurea,Annual,13,208.9231,6.5001,0.05217,0.60545,0.45292,ffd,
Utricularia,vulgaris,Annual,23,168.2174,0.402,0.00085129,0.017892,0.89486,ffd,
Uvularia,perfoliata,Annual,12,137.25,-3.7645,0.091404,1.006,0.33952,ffd,
Uvularia,sessilifolia,Annual,24,126.25,-5.3582,0.4098,15.2754,0.00075394,ffd,
Vaccinium,angustifolium,Annual,25,123.6,-6.4952,0.50761,23.7109,6.4505e-05,ffd,
Vaccinium,corymbosum,Annual,26,128.3077,-9.0129,0.59506,35.2675,3.9629e-06,ffd,
Vaccinium,macrocarpon,Annual,21,169.5238,-1.1468,0.030427,0.59626,0.44951,ffd,
Vaccinium,oxycoccos,Annual,16,174.5,0.36459,0.00014646,0.0020507,0.96452,ffd,
Vaccinium,vacillans,Annual,23,126.3913,-5.3256,0.33482,10.5703,0.0038207,ffd,
Veratrum,viride,Annual,17,153.8824,-3.9763,0.065283,1.0476,0.32228,ffd,
Verbascum,thapsus,Annual,21,171.619,-2.7554,0.12048,2.6027,0.12317,ffd,
Verbena,hastata,Annual,22,198.1818,-4.0681,0.16034,3.8191,0.064799,ffd,
Verbena,urticifolia,Annual,20,197.65,3.2638,0.04744,0.89645,0.35627,ffd,
Vernonia,noveboracensis,Annual,18,214.6667,-2.6498,0.028405,0.46777,0.5038,ffd,
Veronica,arvensis,Annual,6,131.6667,-13.0862,0.70755,9.6776,0.035841,ffd,
Veronica,officinalis,Annual,18,134.2222,-10.1247,0.021623,0.35362,0.56039,ffd,
Veronica,peregrina,Annual,7,127.8571,-6.1658,0.94259,82.0927,0.00027382,ffd,
Veronica,scutellata,Annual,21,173.3333,1.7756,0.0046789,0.089317,0.76829,ffd,
Veronica,serpyllifolia,Annual,25,133.76,-4.9825,0.19103,5.4312,0.028911,ffd,
Viburnum,acerifolium,Annual,21,163.7619,-1.4553,0.033923,0.66718,0.42416,ffd,
Viburnum,cassinoides,Annual,18,164.3889,-0.48972,0.0049815,0.080103,0.78079,ffd,
Viburnum,lentago,Annual,22,155.1364,-2.3371,0.059953,1.2755,0.2721,ffd,
Viburnum,recognitum,Annual,22,162.7727,-1.1732,0.014885,0.30221,0.58859,ffd,
Vicia,cracca,Annual,21,157.5238,-7.4494,0.1424,3.1549,0.091719,ffd,
Viola,blanda,Annual,23,119.2174,-3.365,0.21217,5.6554,0.026975,ffd,
Viola,brittoniana,Annual,23,120.6087,-6.2008,0.092736,2.1465,0.15771,ffd,
Viola,conspersa,Annual,22,129.4545,-1.8292,0.015133,0.30731,0.58548,ffd,
Viola,cucullata,Annual,25,118.8,-4.6014,0.26853,8.4436,0.0079639,ffd,
Viola,lanceolata,Annual,22,131.2727,-6.8102,0.35871,11.1872,0.0032271,ffd,
Viola,pedata,Annual,23,124.2609,2.1665,0.046812,1.0313,0.32141,ffd,
Viola,pubescens,Annual,24,129.8333,-9.3242,0.62592,36.8116,4.1671e-06,ffd,
Viola,sagittata,Annual,24,125.3333,-1.0168,0.0079053,0.1753,0.6795,ffd,
Vitis,aestivalis,Annual,13,154.6154,31.4116,0.15371,1.998,0.18518,ffd,
Vitis,labrusca,Annual,21,161.8095,-3.3799,0.1616,3.6622,0.070846,ffd,
Xanthorhiza,simplicissima,Annual,14,116.9286,6.097,0.020139,0.24663,0.62843,ffd,
Xyris,caroliniana,Annual,13,202.9231,-19.1512,0.42832,8.2416,0.015219,ffd,
Zizia,aurea,Annual,16,131.9375,-10.4484,0.23028,4.1884,0.059957,ffd,
