"site","genus","species"
"fitter","Scabiosa","columbaria"
"fargo","Ratibida","columnifera"
"konza","Ratibida","columnifera"
"fitter","Lapsana","communis"
"fitter","Pyrus","communis"
"fitter","Tamus","communis"
"fargo","Polygonatum","commutatum"
"fargo","Eleocharis","compressa"
"fargo","Poa","compressa"
"fitter","Rumex","conglomeratus"
"fitter","Gymnadenia","conopsea"
"concord","Viola","conspersa"
"fitter","Fallopia","convolvulus"
"fitter","Inula","conyzae"
"concord","Rhus","copallina"
"concord","Nymphoides","cordata"
"fargo","Salix","cordata"
"concord","Aster","cordifolius"
"fitter","Lotus","corniculatus"
"concord","Utricularia","cornuta"
"konza","Euphorbia","corollata"
"fargo","Philadelphus","coronarius"
"concord","Vaccinium","corymbosum"
"concord","Anthemis","cotula"
"concord","Vicia","cracca"
"fitter","Vicia","cracca"
"fargo","Astragalus","crassicarpus"
"konza","Astragalus","crassicarpus"
"konza","Hedyotis","crassifolia"
"concord","Gentiana","crinita"
"concord","Rumex","crispus"
"fargo","Rumex","crispus"
"fitter","Rumex","crispus"
"fitter","Cynosurus","cristatus"
"concord","Crataegus","crus-galli"
"concord","Silene","cucubalus"
"konza","Dicentra","cucullaria"
"concord","Viola","cucullata"
"fargo","Sagittaria","cuneata"
"konza","Draba","cuneifolia"
"konza","Bouteloua","curtipendula"
"konza","Nothocalais","cuspidata"
"fargo","Anemone","cylindrica"
"concord","Boehmeria","cylindrica"
"fargo","Ranunculus","cymbalaria"
"fitter","Asperula","cynanchica"
"fitter","Aethusa","cynapium"
"concord","Euphorbia","cyparissias"
"konza","Buchloe","dactyloides"
"konza","Tripsacum","dactyloides"
"fitter","Cephalanthera","damasonium"
"concord","Thalictrum","dasycarpum"
"fargo","Thalictrum","dasycarpum"
"fitter","Buddleja","davidii"
"fitter","Larix","decidua"
"fargo","Hackelia","deflexa"
"fargo","Populus","deltoides"
"konza","Populus","deltoides"
"konza","Agalinis","densiflora"
"fargo","Lepidium","densiflorum"
"fitter","Valerianella","dentata"
"concord","Trichostema","dichotomum"
"concord","Monarda","didyma"
"fitter","Dryopteris","dilatata"
"concord","Habenaria","dilatata"
"fitter","Bryonia","dioica"
"fargo","Lonicera","dioica"
"fitter","Silene","dioica"
"concord","Urtica","dioica"
"fargo","Urtica","dioica"
"fitter","Urtica","dioica"
"concord","Thalictrum","dioicum"
"concord","Cardamine","diphylla"
"fitter","Matricaria","discoidea"
"fargo","Salix","discolor"
"fitter","Cirsium","dissectum"
"fitter","Geranium","dissectum"
"fitter","Carex","disticha"
"konza","Phlox","divaricata"
"concord","Aster","divaricatus"
"fitter","Malus","domestica"
"fargo","Cardaria","draba"
"fitter","Lepidium","draba"
"konza","Amphiachyris","dracunculoides"
"konza","Cornus","drummondii"
"konza","Symphyotrichum","drummondii"
"concord","Eupatorium","dubium"
"fitter","Papaver","dubium"
"fitter","Trifolium","dubium"
"fargo","Tragopogon","dubius"
"konza","Tragopogon","dubius"
"concord","Solanum","dulcamara"
"fitter","Solanum","dulcamara"
"concord","Aster","dumosus"
"fitter","Pulicaria","dysenterica"
"fitter","Milium","effusum"
"fitter","Juncus","effusus"
"concord","Rosa","eglanteria"
"fitter","Arrhenatherum","elatius"
"fargo","Zigadenus","elegans"
"concord","Pyrola","elliptica"
"concord","Hypericum","ellipticum"
"concord","Scutellaria","epilobiifolia"
"konza","Commelina","erecta"
"fitter","Potentilla","erecta"
"fitter","Bromus","erectus"
"fargo","Aster","ericoides"
"konza","Symphyotrichum","ericoides"
"fargo","Viola","eriocarpa"
"fitter","Cirsium","eriophorum"
"fitter","Senecio","erucifolius"
"concord","Fagopyrum","esculentum"
"konza","Pediomelum","esculentum"
"fitter","Agrimonia","eupatoria"
"konza","Kuhnia","eupatorioides"
"concord","Oxalis","europaea"
"fargo","Oxalis","europaea"
"fitter","Sanicula","europaea"
"fitter","Euonymus","europaeus"
"fitter","Lycopus","europaeus"
"concord","Sparganium","eurycarpum"
"fitter","Euphorbia","exigua"
"fargo","Medicago","falcata"
"fitter","Tussilago","farfara"
"concord","Ranunculus","fascicularis"
"concord","Cassia","fasciculata"
"fargo","Vernonia","fasciculata"
"fargo","Avena","fatua"
"fitter","Avena","fatua"
"fitter","Ranunculus","ficaria"
"fitter","Veronica","filiformis"
"fitter","Dryopteris","filix-mas"
"concord","Habenaria","fimbriata"
"concord","Monarda","fistulosa"
"konza","Monarda","fistulosa"
"concord","Ranunculus","flabellaris"
"concord","Aureolaria","flava"
"concord","Habenaria","flava"
"fitter","Trisetum","flavescens"
"konza","Tridens","flavus"
"fitter","Deschampsia","flexuosa"
"concord","Photinia","floribunda"
"concord","Cornus","florida"
"fitter","Lychnis","flos-cuculi"
"fitter","Glyceria","fluitans"
"fargo","Schoenoplectus","fluviatilis"
"konza","Lomatium","foeniculaceum"
"konza","Cucurbita","foetidissima"
"concord","Symplocarpus","foetidus"
"fitter","Cerastium","fontanum"
"fitter","Salix","fragilis"
"concord","Bidens","frondosa"
"fargo","Amorpha","fruticosa"
"konza","Amorpha","fruticosa"
"concord","Potentilla","fruticosa"
"fargo","Potentilla","fruticosa"
"fitter","Rubus","fruticosus"
"fitter","Dactylorhiza","fuchsii"
"concord","Hemerocallis","fulva"
"fargo","Ulmus","fulva"
"concord","Adlumia","fungosa"
"concord","Myrica","gale"
"fitter","Lamiastrum","galeobdolon"
"fitter","Alopecurus","geniculatus"
"concord","Hypericum","gentianoides"
"fargo","Andropogon","gerardii"
"konza","Andropogon","gerardii"
"fitter","Gentianella","germanica"
"fitter","Festuca","gigantea"
"concord","Solidago","gigantea"
"fargo","Solidago","gigantea"
"fargo","Acer","ginnala"
"konza","Aesculus","glabra"
"concord","Chelone","glabra"
"concord","Rhus","glabra"
"fargo","Rhus","glabra"
"konza","Rhus","glabra"
"fitter","Ulmus","glabra"
"fitter","Impatiens","glandulifera"
"fargo","Agoseris","glauca"
"konza","Yucca","glauca"
"concord","Andromeda","glaucophylla"
"fargo","Chenopodium","glaucum"
"fitter","Campanula","glomerata"
"fitter","Cerastium","glomeratum"
"fitter","Alnus","glutinosa"
"konza","Desmodium","glutinosum"
"konza","Bouteloua","gracilis"
"fargo","Penstemon","gracilis"
"concord","Spiranthes","gracilis"
"fargo","Amaranthus","graecizans"
"concord","Stellaria","graminea"
"fitter","Stellaria","graminea"
"concord","Solidago","graminifolia"
"fargo","Uvularia","grandiflora"
"concord","Trillium","grandiflorum"
"fargo","Penstemon","grandiflorus"
"konza","Penstemon","grandiflorus"
"fargo","Glyceria","grandis"
"concord","Ledum","groenlandicum"
"concord","Cuscuta","gronovii"
"concord","Verbena","hastata"
"concord","Senna","hebecarpa"
"concord","Glechoma","hederacea"
"fitter","Glechoma","hederacea"
"fitter","Veronica","hederifolia"
"concord","Inula","helenium"
"fargo","Heliopsis","helianthoides"
"konza","Heliopsis","helianthoides"
"fitter","Euphorbia","helioscopia"
"fitter","Hedera","helix"
"fitter","Epipactis","helleborine"
"concord","Smilax","herbacea"
"fargo","Smilax","herbacea"
"konza","Ceanothus","herbaceus"
"konza","Physalis","heterophylla"
"concord","Erechtites","hieracifolia"
"fitter","Picris","hieracioides"
"fitter","Aesculus","hippocastanum"
"konza","Bouteloua","hirsuta"
"fitter","Cardamine","hirsuta"
"concord","Hypoxis","hirsuta"
"fargo","Hypoxis","hirsuta"
"fitter","Epilobium","hirsutum"
"fitter","Hypericum","hirsutum"
"konza","Helianthus","hirsutus"
"fitter","Carex","hirta"
"concord","Lespedeza","hirta"
"concord","Rudbeckia","hirta"
"konza","Rudbeckia","hirta"
"fitter","Viola","hirta"
"concord","Aralia","hispida"
"fitter","Leontodon","hispidus"
"fitter","Stellaria","holostea"
"fargo","Phlox","hoodii"
"fitter","Bromus","hordeaceus"
"fargo","Rosa","hugonis"
"konza","Ruellia","humilis"
"concord","Lysimachia","hybrida"
"concord","Trifolium","hybridum"
"fitter","Petasites","hybridus"
"fitter","Rumex","hydrolapathum"
"concord","Polygonum","hydropiper"
"concord","Polygonum","hydropiperoides"
"fargo","Apocynum","hypericifolium"
"fargo","Astragalus","hypoglottis"
"concord","Monotropa","hypopithys"
"fargo","Chrysobalanus","icaco"
"fitter","Rubus","idaeus"
"concord","Quercus","ilicifolia"
"konza","Desmodium","illinoense"
"konza","Desmanthus","illinoensis"
"concord","Asclepias","incarnata"
"fitter","Dactylorhiza","incarnata"
"fargo","Lithospermum","incisum"
"konza","Lithospermum","incisum"
"fargo","Bromus","inermis"
"konza","Spermolepis","inermis"
"concord","Doellingeria","infirma"
"concord","Lobelia","inflata"
"concord","Utricularia","inflata"
"fitter","Juncus","inflexus"
"fitter","Tripleurospermum","inodorum"
"konza","Silphium","integrifolium"
"fargo","Salix","interior"
"concord","Drosera","intermedia"
"concord","Lechea","intermedia"
"concord","Lespedeza","intermedia"
"concord","Cichorium","intybus"
"fitter","Cichorium","intybus"
"konza","Callirhoe","involucrata"
"concord","Roripa","islandica"
"fargo","Rorippa","islandica"
"fitter","Senecio","jacobaea"
"fitter","Fallopia","japonica"
"fitter","Torilis","japonica"
"fargo","Hordeum","jubatum"
"concord","Solidago","juncea"
"fargo","Salsola","kali"
"concord","Vitis","labrusca"
"concord","Habenaria","lacera"
"concord","Rudbeckia","laciniata"
"fargo","Rudbeckia","laciniata"
"konza","Silphium","laciniatum"
"fitter","Schoenoplectus","lacustris"
"konza","Symphyotrichum","laeve"
"concord","Aster","laevis"
"fargo","Aster","laevis"
"concord","Bidens","laevis"
"fargo","Oxytropis","lambertii"
"fargo","Heracleum","lanatum"
"concord","Plantago","lanceolata"
"fitter","Plantago","lanceolata"
"concord","Viola","lanceolata"
"concord","Galium","lanceolatum"
"konza","Symphyotrichum","lanceolatum"
"fitter","Viburnum","lantana"
"fargo","Carex","lanuginosa"
"fitter","Persicaria","lapathifolia"
"concord","Polygonum","lapathifolium"
"fitter","Arctium","lappa"
"concord","Arenaria","lateriflora"
"fargo","Arenaria","lateriflora"
"concord","Scutellaria","lateriflora"
"concord","Kalmia","latifolia"
"concord","Sagittaria","latifolia"
"fitter","Silene","latifolia"
"fargo","Typha","latifolia"
"fitter","Typha","latifolia"
"fitter","Lathyrus","latifolius"
"fargo","Boltonia","latisquama"
"fitter","Daphne","laureola"
"concord","Myosotis","laxa"
"concord","Viburnum","lentago"
"fargo","Viburnum","lentago"
"fargo","Glycyrrhiza","lepidota"
"fargo","Scrophularia","leporella"
"konza","Triodanus","leptocarpa"
"concord","Epilobium","leptophyllum"
"concord","Phryma","leptostachya"
"concord","Chrysanthemum","leucanthemum"
"fargo","Chrysanthemum","leucanthemum"
"concord","Lyonia","ligustrina"
"concord","Aster","linariifolius"
"concord","Melampyrum","lineare"
"konza","Stenosiphon","linifolius"
"concord","Echinocystis","lobata"
"fitter","Valerianella","locusta"
"konza","Hieracium","longipilum"
"fargo","Osmorhiza","longistylis"
"concord","Diervilla","lonicera"
"fargo","Lactuca","ludoviciana"
"fargo","Medicago","lupulina"
"fitter","Medicago","lupulina"
"fitter","Pseudofumaria","lutea"
"fitter","Reseda","lutea"
"fitter","Reseda","luteola"
"fitter","Circaea","lutetiana"
"konza","Lonicera","maackii"
"konza","Calystegia","macounii"
"fargo","Ranunculus","macounii"
"fitter","Koeleria","macrantha"
"konza","Koeleria","macrantha"
"konza","Oenothera","macrocarpa"
"fargo","Quercus","macrocarpa"
"konza","Quercus","macrocarpa"
"concord","Vaccinium","macrocarpon"
"fitter","Cicerbita","macrophylla"
"concord","Aster","macrophyllus"
"konza","Opuntia","macrorhiza"
"concord","Cicuta","maculata"
"fargo","Cicuta","maculata"
"concord","Corallorhiza","maculata"
"concord","Euphorbia","maculata"
"fitter","Conium","maculatum"
"konza","Conium","maculatum"
"concord","Geranium","maculatum"
"fargo","Geranium","maculatum"
"fitter","Persicaria","maculosa"
"concord","Convallaria","majalis"
"fargo","Convallaria","majalis"
"fargo","Plantago","major"
"fitter","Plantago","major"
"fitter","Antirrhinum","majus"
"concord","Chelidonium","majus"
"fitter","Chelidonium","majus"
"fitter","Conopodium","majus"
"concord","Malus","malus"
"concord","Anaphalis","margaritacea"
"konza","Euphorbia","marginata"
"concord","Sanicula","marilandica"
"concord","Desmodium","marilandicum"
"concord","Prunus","maritima"
"fargo","Sanicula","marylandica"
"fargo","Hesperis","matronalis"
"fitter","Hesperis","matronalis"
"fitter","Glyceria","maxima"
"fargo","Helianthus","maximiliani"
"konza","Helianthus","maximiliani"
"konza","Carex","meadii"
"fitter","Briza","media"
"fitter","Plantago","media"
"concord","Stellaria","media"
"fargo","Stellaria","media"
"fitter","Trifolium","medium"
"concord","Photinia","melanocarpa"
"fargo","Rumex","mexicanus"
"fitter","Daphne","mezereum"
"konza","Corydalis","micrantha"
"concord","Nuphar","microphyllum"
"concord","Achillea","millefolium"
"fargo","Achillea","millefolium"
